instancia,seed,job_id,nodo,valor_objetivo,tiempo_ejecucion,exito
erdos_n2000_p0c0.3_7,42,3961376,luthier16,,10,SI
erdos_n2000_p0c0.3_8,42,3961377,luthier23,,10,SI
erdos_n2000_p0c0.3_9,42,3961378,luthier16,,10,SI
erdos_n2000_p0c0.4_10,42,3961409,luthier22,,10,SI
erdos_n2000_p0c0.4_11,42,3961410,luthier24,,10,SI
erdos_n2000_p0c0.4_12,42,3961411,luthier27,,10,SI
erdos_n2000_p0c0.4_13,42,3961412,luthier27,,10,SI
erdos_n2000_p0c0.4_14,42,3961413,luthier24,,10,SI
erdos_n2000_p0c0.4_15,42,3961414,luthier26,,10,SI
erdos_n2000_p0c0.4_16,42,3961415,luthier22,,10,SI
erdos_n2000_p0c0.4_17,42,3961416,luthier24,,10,SI
erdos_n2000_p0c0.4_18,42,3961417,luthier25,,10,SI
erdos_n2000_p0c0.4_19,42,3961418,luthier16,,10,SI
erdos_n2000_p0c0.4_1,42,3961400,luthier26,,10,SI
erdos_n2000_p0c0.4_20,42,3961419,luthier16,,10,SI
erdos_n2000_p0c0.4_21,42,3961420,luthier17,,10,SI
erdos_n2000_p0c0.4_22,42,3961421,luthier16,,10,SI
erdos_n2000_p0c0.4_23,42,3961422,luthier23,,10,SI
erdos_n2000_p0c0.4_24,42,3961423,luthier17,,10,SI
erdos_n2000_p0c0.4_25,42,3961424,luthier17,,10,SI
erdos_n2000_p0c0.4_26,42,3961425,luthier23,,10,SI
erdos_n2000_p0c0.4_27,42,3961426,luthier29,,10,SI
erdos_n2000_p0c0.4_28,42,3961427,luthier29,,10,SI
erdos_n2000_p0c0.4_29,42,3961428,luthier28,,10,SI
erdos_n2000_p0c0.4_2,42,3961401,luthier26,,10,SI
erdos_n2000_p0c0.4_30,42,3961429,luthier23,,10,SI
erdos_n2000_p0c0.4_3,42,3961402,luthier30,,10,SI
erdos_n2000_p0c0.4_4,42,3961403,luthier25,,10,SI
erdos_n2000_p0c0.4_5,42,3961404,luthier18,,10,SI
erdos_n2000_p0c0.4_6,42,3961405,luthier27,,10,SI
erdos_n2000_p0c0.4_7,42,3961406,luthier22,,10,SI
erdos_n2000_p0c0.4_8,42,3961407,luthier25,,10,SI
erdos_n2000_p0c0.4_9,42,3961408,luthier20,,10,SI
erdos_n2000_p0c0.5_10,42,3961439,luthier21,,10,SI
erdos_n2000_p0c0.5_11,42,3961440,luthier21,,10,SI
erdos_n2000_p0c0.5_12,42,3961441,luthier30,,10,SI
erdos_n2000_p0c0.5_13,42,3961442,luthier30,,10,SI
erdos_n2000_p0c0.5_14,42,3961443,luthier26,,10,SI
erdos_n2000_p0c0.5_15,42,3961444,luthier26,,10,SI
erdos_n2000_p0c0.5_16,42,3961445,luthier25,,10,SI
erdos_n2000_p0c0.5_17,42,3961446,luthier27,,10,SI
erdos_n2000_p0c0.5_18,42,3961447,luthier25,,10,SI
erdos_n2000_p0c0.5_19,42,3961448,luthier18,,10,SI
erdos_n2000_p0c0.5_1,42,3961430,luthier28,,10,SI
erdos_n2000_p0c0.5_20,42,3961449,luthier24,,10,SI
erdos_n2000_p0c0.5_21,42,3961450,luthier22,,10,SI
erdos_n2000_p0c0.5_22,42,3961451,luthier20,,10,SI
erdos_n2000_p0c0.5_23,42,3961452,luthier22,,10,SI
erdos_n2000_p0c0.5_24,42,3961453,luthier27,,10,SI
erdos_n2000_p0c0.5_25,42,3961454,luthier24,,10,SI
